Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Ford Maverick,21.0,6,200.0,85.0,2587.0,16.0,70,US
Ford Pinto,25.0,4,98.0,0.0,2046.0,19.0,71,US
Ford Pinto Runabout,21.0,4,122.0,86.0,2226.0,16.5,72,US
Ford Pinto (sw),22.0,4,122.0,86.0,2395.0,16.0,72,US
Ford Maverick,21.0,6,200.0,0.0,2875.0,17.0,74,US
Ford Pinto,26.0,4,122.0,80.0,2451.0,16.5,74,US
Ford Pinto,23.0,4,140.0,83.0,2639.0,17.0,75,US
Ford Maverick,24.0,6,200.0,81.0,3012.0,17.6,76,US
Ford Pinto,26.5,4,140.0,72.0,2565.0,13.6,76,US
Ford Mustang II 2+2,25.5,4,140.0,89.0,2755.0,15.8,77,US
Ford Fiesta,36.1,4,98.0,66.0,1800.0,14.4,78,US
Ford Fairmont (auto),20.2,6,200.0,85.0,2965.0,15.8,78,US
Ford Fairmont (man),25.1,4,140.0,88.0,2720.0,15.4,78,US
Ford Fairmont 4,22.3,4,140.0,88.0,2890.0,17.3,79,US
Ford Fairmont,26.4,4,140.0,88.0,2870.0,18.1,80,US
Ford Mustang Cobra,23.6,4,140.0,0.0,2905.0,14.3,80,US
Ford Escort 4W,34.4,4,98.0,65.0,2045.0,16.2,81,US
Ford Escort 2H,29.9,4,98.0,65.0,2380.0,20.7,81,US
Ford Grenada gl,20.2,6,200.0,88.0,3060.0,17.1,81,US
Ford Fairmont Futura,24.0,4,140.0,92.0,2865.0,16.4,82,US
Ford Grenada l,22.0,6,232.0,112.0,2835.0,14.7,82,US
Ford Mustang GL,27.0,4,140.0,86.0,2790.0,15.6,82,US
Ford Ranger,28.0,4,120.0,79.0,2625.0,18.6,82,US
